concept(s) level 0,concept(s) level 1,normalized+name
"Engineering, Geology",Petroleum engineering,petroleum+engineering
"Engineering, Geology",Mining engineering,mining+engineering
"Engineering, Mathematics",Operations research,operations+research
"Engineering, Medicine",Biomedical engineering,biomedical+engineering
"Engineering, Physics",Engineering physics,engineering+physics
Environmental science,Water resource management,water+resource+management
"Environmental science, Geography",Environmental planning,environmental+planning
"Environmental science, Geography",Environmental protection,environmental+protection
"Environmental science, Geology",Soil science,soil+science
Geography,Physical geography,physical+geography
Geography,Forestry,forestry
Geography,Cartography,cartography
"Geography, Geology",Remote sensing,remote+sensing
"Geography, Geology",Geodesy,geodesy
"Geography, History",Archaeology,archaeology
"Geography, Physics",Meteorology,meteorology
"Geography, Sociology",Regional science,regional+science
Geology,Geochemistry,geochemistry
Geology,Seismology,seismology
Geology,Petrology,petrology
Geology,Oceanography,oceanography
Geology,Geomorphology,geomorphology
Geology,Climatology,climatology
Geology,Earth science,earth+science
"Geology, Physics",Atmospheric sciences,atmospheric+sciences
"Geology, Physics",Geophysics,geophysics
History,Ancient history,ancient+history
History,Genealogy,genealogy
"History, Sociology",Ethnology,ethnology
Materials science,Metallurgy,metallurgy
Materials science,Composite material,composite+material
Materials science,Nanotechnology,nanotechnology
"Materials science, Physics",Optoelectronics,optoelectronics
Mathematics,Mathematical analysis,mathematical+analysis
Mathematics,Mathematical optimization,mathematical+optimization
Mathematics,Applied mathematics,applied+mathematics
Mathematics,Geometry,geometry
Mathematics,Combinatorics,combinatorics
Mathematics,Pure mathematics,pure+mathematics
Mathematics,Arithmetic,arithmetic
Mathematics,Statistics,statistics
Mathematics,Discrete mathematics,discrete+mathematics
"Mathematics, Physics",Mathematical physics,mathematical+physics
"Mathematics, Psychology",Mathematics education,mathematics+education
Medicine,Anesthesia,anesthesia
Medicine,Veterinary medicine,veterinary+medicine
Medicine,General surgery,general+surgery
Medicine,Oncology,oncology
Medicine,Gynecology,gynecology
Medicine,Family medicine,family+medicine
Medicine,Gerontology,gerontology
Medicine,Internal medicine,internal+medicine
Medicine,Orthodontics,orthodontics
Medicine,Surgery,surgery
Medicine,Dentistry,dentistry
Medicine,Pathology,pathology
Medicine,Environmental health,environmental+health
Medicine,Medical emergency,medical+emergency
Medicine,Urology,urology
Medicine,Cardiology,cardiology
Medicine,Medical education,medical+education
Medicine,Radiology,radiology
Medicine,Nursing,nursing
Medicine,Optometry,optometry
Medicine,Emergency medicine,emergency+medicine
Medicine,Nuclear medicine,nuclear+medicine
Medicine,Audiology,audiology
Medicine,Obstetrics,obstetrics
Medicine,Physical medicine and rehabilitation,physical+medicine+and+rehabilitation
Medicine,Traditional medicine,traditional+medicine
Medicine,Intensive care medicine,intensive+care+medicine
Medicine,Andrology,andrology
Medicine,Ophthalmology,ophthalmology
Medicine,Dermatology,dermatology
Medicine,Physical therapy,physical+therapy
Medicine,Pediatrics,pediatrics
Medicine,Gastroenterology,gastroenterology
"Medicine, Physics",Medical physics,medical+physics
"Medicine, Psychology",Clinical psychology,clinical+psychology
"Medicine, Psychology",Psychiatry,psychiatry
Philosophy,Linguistics,linguistics
Philosophy,Theology,theology
Philosophy,Epistemology,epistemology
Philosophy,Religious studies,religious+studies
Philosophy,Environmental ethics,environmental+ethics
Physics,Nuclear magnetic resonance,nuclear+magnetic+resonance
Physics,Quantum electrodynamics,quantum+electrodynamics
Physics,Acoustics,acoustics
Physics,Statistical physics,statistical+physics
Physics,Astronomy,astronomy
Physics,Atomic physics,atomic+physics
Physics,Particle physics,particle+physics
Physics,Thermodynamics,thermodynamics
Physics,Classical mechanics,classical+mechanics
Physics,Nuclear physics,nuclear+physics
Physics,Astrophysics,astrophysics
Physics,Optics,optics
Physics,Condensed matter physics,condensed+matter+physics
Physics,Theoretical physics,theoretical+physics
Physics,Quantum mechanics,quantum+mechanics
Physics,Computational physics,computational+physics
Physics,Mechanics,mechanics
Political science,Public administration,public+administration
Political science,Law,law
Political science,Public relations,public+relations
Psychology,Cognitive science,cognitive+science
Psychology,Psychoanalysis,psychoanalysis
Psychology,Social psychology,social+psychology
Psychology,Psychotherapist,psychotherapist
Psychology,Cognitive psychology,cognitive+psychology
Psychology,Applied psychology,applied+psychology
Psychology,Developmental psychology,developmental+psychology
"Psychology, Sociology",Pedagogy,pedagogy
"Psychology, Sociology",Criminology,criminology
"Psychology, Sociology",Communication,communication
Sociology,Anthropology,anthropology
Sociology,Gender studies,gender+studies
Sociology,Demography,demography
Sociology,Media studies,media+studies
Sociology,Social science,social+science
